Participant 64 16 1 2001.0
Participant 64 16 2 2480.9
Participant 64 16 3 3176.9
Participant 64 16 4 3961.2
Participant 64 16 5 4465.0
Participant 64 16 6 5104.9
Participant 64 16 7 5641.0
Participant 64 16 8 6177.0
Participant 256 32 1 680.0
Participant 256 32 2 1175.9
Participant 256 32 3 1824.0
Participant 256 32 4 2448.0
Participant 256 32 5 3023.9
Participant 256 32 6 3648.0
Participant 256 32 7 4216.0
Participant 256 32 8 5104.0
Participant 64 32 1 616.0
Participant 64 32 2 1207.9
Participant 64 32 3 1760.0
Participant 64 32 4 2312.0
Participant 64 32 5 2792.0
Participant 64 32 6 3336.1
Participant 64 32 7 3800.0
Participant 64 32 8 4344.1
Participant 64 8 1 567.9
Participant 64 8 2 1495.9
Participant 64 8 3 2040.0
Participant 64 8 4 2943.9
Participant 64 8 5 3823.9
Participant 64 8 6 4311.9
Participant 64 8 7 5287.9
Participant 64 8 8 6039.9
Participant 256 8 1 1160.0
Participant 256 8 2 2360.0
Participant 256 8 3 3464.0
Participant 256 8 4 4281.9
Participant 256 8 5 5216.1
Participant 256 8 6 6176.0
Participant 256 8 7 7121.6
Participant 256 8 8 8144.1
Participant 256 16 1 1143.8
Participant 256 16 2 1919.9
Participant 256 16 3 3263.9
Participant 256 16 4 4167.9
Participant 256 16 5 5095.9
Participant 256 16 6 5623.9
Participant 256 16 7 6440.0
Participant 256 16 8 7112.0
Participant 128 32 1 823.9
Participant 128 32 2 1407.9
Participant 128 32 3 2023.9
Participant 128 32 4 2591.9
Participant 128 32 5 3191.8
Participant 128 32 6 3679.9
Participant 128 32 7 4200.0
Participant 128 32 8 4888.0
Participant 512 8 1 1567.7
Participant 512 8 2 3031.8
Participant 512 8 3 4185.7
Participant 512 8 4 5183.9
Participant 512 8 5 6367.9
Participant 512 8 6 7271.8
Participant 512 8 7 8383.9
Participant 512 8 8 9424.0
Participant 512 32 1 783.7
Participant 512 32 2 1351.9
Participant 512 32 3 2215.9
Participant 512 32 4 2807.9
Participant 512 32 5 3848.0
Participant 512 32 6 4751.8
Participant 512 32 7 5465.7
Participant 512 32 8 6167.9
Participant 128 16 1 775.9
Participant 128 16 2 1600.1
Participant 128 16 3 2576.0
Participant 128 16 4 3241.8
Participant 128 16 5 4072.0
Participant 128 16 6 5969.5
Participant 128 16 7 7184.2
Participant 128 16 8 7984.1
Participant 512 16 1 1264.0
Participant 512 16 2 2199.9
Participant 512 16 3 3360.0
Participant 512 16 4 4432.1
Participant 512 16 5 5032.1
Participant 512 16 6 5864.5
Participant 512 16 7 6888.0
Participant 512 16 8 8208.1
Participant 128 8 1 1112.0
Participant 128 8 2 2007.9
Participant 128 8 3 2848.2
Participant 128 8 4 3768.0
Participant 128 8 5 4584.0
Participant 128 8 6 5272.1
Participant 128 8 7 6120.2
Participant 128 8 8 7120.1
